"id","codigo","descricao"
"__export__.sped_cnae_231","1122499","FABRICAÇÃO DE OUTRAS BEBIDAS NÃO-ALCOÓLICAS NÃO ESPECIFICADAS ANTERIORMENTE"
"__export__.sped_cnae_232","1210700","PROCESSAMENTO INDUSTRIAL DO FUMO"
"__export__.sped_cnae_233","1220401","FABRICAÇÃO DE CIGARROS"
"__export__.sped_cnae_234","1220402","FABRICAÇÃO DE CIGARRILHAS E CHARUTOS"
"__export__.sped_cnae_235","1220403","FABRICAÇÃO DE FILTROS PARA CIGARROS"
"__export__.sped_cnae_236","1220499","FABRICAÇÃO DE OUTROS PRODUTOS DO FUMO, EXCETO CIGARROS, CIGARRILHAS E CHARUTOS"
"__export__.sped_cnae_237","1311100","PREPARAÇÃO E FIAÇÃO DE FIBRAS DE ALGODÃO"
"__export__.sped_cnae_238","1312000","PREPARAÇÃO E FIAÇÃO DE FIBRAS TÊXTEIS NATURAIS, EXCETO ALGODÃO"
"__export__.sped_cnae_239","1313800","FIAÇÃO DE FIBRAS ARTIFICIAIS E SINTÉTICAS"
"__export__.sped_cnae_240","1314600","FABRICAÇÃO DE LINHAS PARA COSTURAR E BORDAR"
"__export__.sped_cnae_241","1321900","TECELAGEM DE FIOS DE ALGODÃO"
"__export__.sped_cnae_242","1322700","TECELAGEM DE FIOS DE FIBRAS TÊXTEIS NATURAIS, EXCETO ALGODÃO"
"__export__.sped_cnae_243","1323500","TECELAGEM DE FIOS DE FIBRAS ARTIFICIAIS E SINTÉTICAS"
"__export__.sped_cnae_244","1330800","FABRICAÇÃO DE TECIDOS DE MALHA"
"__export__.sped_cnae_245","1340501","ESTAMPARIA E TEXTURIZAÇÃO EM FIOS, TECIDOS, ARTEFATOS TÊXTEIS E PEÇAS DO VESTUÁRIO"
"__export__.sped_cnae_246","1340502","ALVEJAMENTO, TINGIMENTO E TORÇÃO EM FIOS, TECIDOS, ARTEFATOS TÊXTEIS E PEÇAS DO VESTUÁRIO"
"__export__.sped_cnae_247","1340599","OUTROS SERVIÇOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TÊXTEIS E PEÇAS DO VESTUÁRIO"
"__export__.sped_cnae_248","1351100","FABRICAÇÃO DE ARTEFATOS TÊXTEIS PARA USO DOMÉSTICO"
